run_id,t,p_family,theta,source_feature,class_mode,class_label,n_pairs_in_class,sum_pair_weight,sum_contrib_primary,mean_contrib_primary,max_contrib_primary,class_rank,cumulative_class_contrib,case_label,branch_basis,branch_label
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,delta_p,dp=-10,1,2.378353023692932e-232,0.0,0.0,0.0,7,1.0,t=10.0__pf=P2__th=3e-09,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,delta_p,dp=-6,1,5.920009059189914e-271,0.0,0.0,0.0,8,1.0,t=10.0__pf=P2__th=3e-09,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,delta_p,dp=-8,1,5.3123640801093855e-242,0.0,0.0,0.0,9,1.0,t=10.0__pf=P2__th=3e-09,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,delta_p2,dp2=12,1,0.9999999999991366,1.6312995181822696e-07,1.6312995181822696e-07,1.6312995181822696e-07,1,1.0,t=10.0__pf=P2__th=3e-09,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,delta_p2,dp2=16,1,1.1143831578393822e-29,1.7349049543330332e-37,1.7349049543330332e-37,1.7349049543330332e-37,2,1.0,t=10.0__pf=P2__th=3e-09,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,delta_p2,dp2=1,1,2.149366346256259e-51,5.768040564465032e-58,5.768040564465032e-58,5.768040564465032e-58,3,1.0,t=10.0__pf=P2__th=3e-09,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,delta_p2,dp2=15,2,8.63504075336992e-13,2.530312330385516e-60,1.265156165192758e-60,2.530312330385516e-60,4,1.0,t=10.0__pf=P2__th=3e-09,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,delta_p2,dp2=0,1,4.145590013560522e-73,6.763376092204089e-80,6.763376092204089e-80,6.763376092204089e-80,5,1.0,t=10.0__pf=P2__th=3e-09,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,delta_p2,dp2=-1,1,5.350033453653432e-90,1.4357352358137256e-96,1.4357352358137256e-96,1.4357352358137256e-96,6,1.0,t=10.0__pf=P2__th=3e-09,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,delta_p2,dp2=7,1,2.6691902155389534e-109,4.481542666830636e-117,4.481542666830636e-117,4.481542666830636e-117,7,1.0,t=10.0__pf=P2__th=3e-09,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,delta_p2,dp2=-5,1,5.961987174633711e-119,3.448284145698892e-126,3.448284145698892e-126,3.448284145698892e-126,8,1.0,t=10.0__pf=P2__th=3e-09,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,delta_p2,dp2=-8,2,5.148200222407533e-131,7.635419290589268e-139,3.817709645294634e-139,7.635419290589268e-139,9,1.0,t=10.0__pf=P2__th=3e-09,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,delta_p2,dp2=-9,1,6.643938094671947e-148,3.6523005464623606e-157,3.6523005464623606e-157,3.6523005464623606e-157,10,1.0,t=10.0__pf=P2__th=3e-09,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,delta_p2,dp2=-36,1,5.920009059189914e-271,0.0,0.0,0.0,11,1.0,t=10.0__pf=P2__th=3e-09,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,delta_p2,dp2=-32,1,5.3123640801093855e-242,0.0,0.0,0.0,12,1.0,t=10.0__pf=P2__th=3e-09,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,delta_p2,dp2=-35,2,4.5872480328522664e-254,0.0,0.0,0.0,13,1.0,t=10.0__pf=P2__th=3e-09,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,delta_p2,dp2=-20,1,2.378353023692932e-232,0.0,0.0,0.0,14,1.0,t=10.0__pf=P2__th=3e-09,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,delta_p2,dp2=-27,1,0.0,0.0,0.0,0.0,15,1.0,t=10.0__pf=P2__th=3e-09,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,delta_p2,dp2=3,2,1.9287498479622526e-22,0.0,0.0,0.0,16,1.0,t=10.0__pf=P2__th=3e-09,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,3e-09,neg,delta_p2,dp2=4,1,2.4891212533253987e-39,0.0,0.0,0.0,17,1.0,t=10.0__pf=P2__th=3e-09,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p,dp=-2,4,0.9999999999991366,1.6312995181822696e-07,4.078248795455674e-08,1.6312995181822696e-07,1,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p,dp=-4,2,1.1143831578393822e-29,1.7349049543330332e-37,8.674524771665166e-38,1.7349049543330332e-37,2,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p,dp=-1,3,1.9287498479622526e-22,5.768040564465032e-58,1.9226801881550108e-58,5.768040564465032e-58,3,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p,dp=-5,3,2.1493663462562592e-51,2.530312330385516e-60,8.434374434618387e-61,2.530312330385516e-60,4,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p,dp=-7,2,2.6691902155389534e-109,4.481542666830636e-117,2.240771333415318e-117,4.481542666830636e-117,5,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p,dp=-3,4,8.63504075336992e-13,3.6523005464623606e-157,9.130751366155901e-158,3.6523005464623606e-157,6,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p,dp=-10,1,2.378353023692932e-232,0.0,0.0,0.0,7,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p,dp=-6,1,5.920009059189914e-271,0.0,0.0,0.0,8,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p,dp=-8,1,5.3123640801093855e-242,0.0,0.0,0.0,9,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p2,dp2=12,1,0.9999999999991366,1.6312995181822696e-07,1.6312995181822696e-07,1.6312995181822696e-07,1,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p2,dp2=16,1,1.1143831578393822e-29,1.7349049543330332e-37,1.7349049543330332e-37,1.7349049543330332e-37,2,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p2,dp2=1,1,2.149366346256259e-51,5.768040564465032e-58,5.768040564465032e-58,5.768040564465032e-58,3,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p2,dp2=15,2,8.63504075336992e-13,2.530312330385516e-60,1.265156165192758e-60,2.530312330385516e-60,4,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p2,dp2=0,1,4.145590013560522e-73,6.763376092204089e-80,6.763376092204089e-80,6.763376092204089e-80,5,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p2,dp2=-1,1,5.350033453653432e-90,1.4357352358137256e-96,1.4357352358137256e-96,1.4357352358137256e-96,6,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p2,dp2=7,1,2.6691902155389534e-109,4.481542666830636e-117,4.481542666830636e-117,4.481542666830636e-117,7,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p2,dp2=-5,1,5.961987174633711e-119,3.448284145698892e-126,3.448284145698892e-126,3.448284145698892e-126,8,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p2,dp2=-8,2,5.148200222407533e-131,7.635419290589268e-139,3.817709645294634e-139,7.635419290589268e-139,9,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p2,dp2=-9,1,6.643938094671947e-148,3.6523005464623606e-157,3.6523005464623606e-157,3.6523005464623606e-157,10,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p2,dp2=-36,1,5.920009059189914e-271,0.0,0.0,0.0,11,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p2,dp2=-32,1,5.3123640801093855e-242,0.0,0.0,0.0,12,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p2,dp2=-35,2,4.5872480328522664e-254,0.0,0.0,0.0,13,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p2,dp2=-20,1,2.378353023692932e-232,0.0,0.0,0.0,14,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p2,dp2=-27,1,0.0,0.0,0.0,0.0,15,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p2,dp2=3,2,1.9287498479622526e-22,0.0,0.0,0.0,16,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
M33_V0_alpha_peak_robustness,10.0,P2,1e-08,neg,delta_p2,dp2=4,1,2.4891212533253987e-39,0.0,0.0,0.0,17,1.0,t=10.0__pf=P2__th=1e-08,nearest_branch_readout,S3
