pair_a,pair_b,abs_delta_a,abs_delta_b,same_abs_delta,strength,theta_edge,edge_candidate_flag,expected_flag_by_same_abs_delta,expected_flag_by_strength_threshold,flag_matches_same_abs_delta,flag_matches_strength_threshold,strength_is_one,strength_one_matches_same_abs_delta
1|0,1|4,1,3,false,0.3113217232763676,0.5,0,0,0,true,true,false,true
1|0,2|5,1,3,false,0.3113217232763676,0.5,0,0,0,true,true,false,true
1|0,3|0,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
1|0,3|6,1,3,false,0.3113217232763676,0.5,0,0,0,true,true,false,true
1|0,4|1,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
1|0,5|2,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
1|0,6|3,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
1|2,1|4,1,3,false,0.3113217232763676,0.5,0,0,0,true,true,false,true
1|2,2|5,1,3,false,0.3113217232763676,0.5,0,0,0,true,true,false,true
1|2,3|0,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
1|2,3|6,1,3,false,0.3113217232763676,0.5,0,0,0,true,true,false,true
1|2,4|1,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
1|2,5|2,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
1|2,6|3,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
2|1,2|5,1,3,false,0.31132172327636753,0.5,0,0,0,true,true,false,true
2|1,3|0,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
2|1,3|6,1,3,false,0.31132172327636753,0.5,0,0,0,true,true,false,true
2|1,4|1,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
2|1,5|2,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
2|1,6|3,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
2|3,2|5,1,3,false,0.3113217232763676,0.5,0,0,0,true,true,false,true
2|3,3|0,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
2|3,3|6,1,3,false,0.3113217232763676,0.5,0,0,0,true,true,false,true
2|3,4|1,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
2|3,5|2,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
2|3,6|3,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
3|2,3|6,1,3,false,0.31132172327636753,0.5,0,0,0,true,true,false,true
3|2,4|1,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
3|2,5|2,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
3|2,6|3,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
3|4,3|6,1,3,false,0.3113217232763676,0.5,0,0,0,true,true,false,true
3|4,4|1,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
3|4,5|2,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
3|4,6|3,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
4|3,5|2,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
4|3,6|3,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
4|5,5|2,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
4|5,6|3,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
5|4,6|3,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
5|6,6|3,1,3,false,0.31132172327636765,0.5,0,0,0,true,true,false,true
0|1,0|4,1,4,false,0.10651164470321299,0.5,0,0,0,true,true,false,true
0|1,1|5,1,4,false,0.10651164470321299,0.5,0,0,0,true,true,false,true
0|1,2|6,1,4,false,0.10651164470321299,0.5,0,0,0,true,true,false,true
0|1,4|0,1,4,false,0.10651164470321299,0.5,0,0,0,true,true,false,true
0|1,5|1,1,4,false,0.10651164470321299,0.5,0,0,0,true,true,false,true
0|1,6|2,1,4,false,0.10651164470321299,0.5,0,0,0,true,true,false,true
1|0,1|5,1,4,false,0.10651164470321303,0.5,0,0,0,true,true,false,true
1|0,2|6,1,4,false,0.10651164470321303,0.5,0,0,0,true,true,false,true
